/user/as6154/.conda/envs/pytorch/lib/python3.11/site-packages/transformers/optimization.py:407: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 2, Loss: 7901925.0
Epoch 2, Loss: 7901858.0
Epoch 2, Loss: 7902177.0
Epoch 2, Loss: 7902910.0
Epoch 2, Loss: 7902555.0
Epoch 2, Loss: 7901936.0
Epoch 2, Loss: 7901841.0
Epoch 2, Loss: 7901722.5
Epoch 2, Loss: 7901582.0
Epoch 2, Loss: 7901922.0
Epoch 2, Loss: 7902068.0
Epoch 2, Loss: 7902403.0
Epoch 2, Loss: 7901639.0
Epoch 2, Loss: 7901777.0
Epoch 2, Loss: 7903584.5
Epoch 2, Loss: 7902005.0
Epoch 2, Loss: 7901402.5
Epoch 2, Loss: 7901905.0
Epoch 2, Loss: 7901586.5
Epoch 2, Loss: 7900640.5
Epoch 2, Loss: 7901097.5
Epoch 2, Loss: 7901954.5
Epoch 2, Loss: 7901921.0
Epoch 2, Loss: 7902216.0
Epoch 2, Loss: 7901659.0
Epoch 2, Loss: 7902204.0
Epoch 2, Loss: 7902154.0
Epoch 2, Loss: 7901281.0
Epoch 2, Loss: 7901512.0
Epoch 2, Loss: 7902051.0
Epoch 2, Loss: 7901620.0
Epoch 2, Loss: 7901914.0
Epoch 2, Loss: 7903432.0
Epoch 2, Loss: 7901194.0
Epoch 2, Loss: 7902261.0
Epoch 2, Loss: 7903243.0
Epoch 2, Loss: 7901433.0
Epoch 2, Loss: 7901444.5
Epoch 2, Loss: 7900911.0
Epoch 2, Loss: 7901192.0
Epoch 2, Loss: 7902003.0
Epoch 2, Loss: 7901039.0
Epoch 2, Loss: 7901762.0
Epoch 2, Loss: 7902236.0
Epoch 2, Loss: 7901770.0
Epoch 2, Loss: 7901279.0
Epoch 2, Loss: 7901823.0
Epoch 2, Loss: 7901781.5
Epoch 2, Loss: 7902049.5
Epoch 2, Loss: 7902076.0
Epoch 2, Loss: 7902257.5
Epoch 2, Loss: 7901448.0
Epoch 2, Loss: 7902111.0
Epoch 2, Loss: 7901099.0
Epoch 2, Loss: 7901342.5
Epoch 2, Loss: 7901710.5
Epoch 2, Loss: 7901246.5
Epoch 2, Loss: 7902424.0
Epoch 2, Loss: 7903497.0
Epoch 2, Loss: 7901394.5
Epoch 2, Loss: 7901373.0
Epoch 2, Loss: 7902275.0
Epoch 2, Loss: 7901281.0
Epoch 2, Loss: 7901643.5
Epoch 2, Loss: 7901251.5
Epoch 2, Loss: 7903073.0
Epoch 2, Loss: 7902012.0
